name	mfr	calories	protein	sodium	fiber	carbo	sugars	potass	vitamins	shelf	weight	cups	rating
100% Bran	N	70	4	130	10.0	5.0	6	280	25	3	1.0	0.33	68.402.973
100% Natural Bran	Q	120	3	15	2.0	8.0	8	135	0	3	1.0	1.0	33.983.679
All-Bran	K	70	4	260	9.0	7.0	5	320	25	3	1.0	0.33	59.425.505
All-Bran with Extra Fiber	K	50	4	140	14.0	8.0	0	330	25	3	1.0	0.5	93.704.912
Almond Delight	R	110	2	200	1.0	14.0	8	-1	25	3	1.0	0.75	34.384.843
Apple Cinnamon Cheerios	G	110	2	180	1.5	10.5	10	70	25	1	1.0	0.75	29.509.541
Apple Jacks	K	110	2	125	1.0	11.0	14	30	25	2	1.0	1.0	33.174.094
Basic 4	G	130	3	210	2.0	18.0	8	100	25	3	1.33	0.75	37.038.562
Bran Chex	R	90	2	200	4.0	15.0	6	125	25	1	1.0	0.67	49.120.253
Bran Flakes	P	90	3	210	5.0	13.0	5	190	25	3	1.0	0.67	53.313.813
Cap'n'Crunch	Q	120	1	220	0.0	12.0	12	35	25	2	1.0	0.75	18.042.851
Cheerios	G	110	6	290	2.0	17.0	1	105	25	1	1.0	1.25	50.764.999
Cinnamon Toast Crunch	G	120	1	210	0.0	13.0	9	45	25	2	1.0	0.75	19.823.573
Clusters	G	110	3	140	2.0	13.0	7	105	25	3	1.0	0.5	40.400.208
Cocoa Puffs	G	110	1	180	0.0	12.0	13	55	25	2	1.0	1.0	22.736.446
Corn Chex	R	110	2	280	0.0	22.0	3	25	25	1	1.0	1.0	41.445.019
Corn Flakes	K	100	2	290	1.0	21.0	2	35	25	1	1.0	1.0	45.863.324
Corn Pops	K	110	1	90	1.0	13.0	12	20	25	2	1.0	1.0	35.782.791
Count Chocula	G	110	1	180	0.0	12.0	13	65	25	2	1.0	1.0	22.396.513
Cracklin' Oat Bran	K	110	3	140	4.0	10.0	7	160	25	3	1.0	0.5	40.448.772
Cream of Wheat (Quick)	N	100	3	80	1.0	21.0	0	-1	0	2	1.0	1.0	64.533.816
Crispix	K	110	2	220	1.0	21.0	3	30	25	3	1.0	1.0	46.895.644
Crispy Wheat & Raisins	G	100	2	140	2.0	11.0	10	120	25	3	1.0	0.75	36.176.196
Double Chex	R	100	2	190	1.0	18.0	5	80	25	3	1.0	0.75	44.330.856
Froot Loops	K	110	2	125	1.0	11.0	13	30	25	2	1.0	1.0	32.207.582
Frosted Flakes	K	110	1	200	1.0	14.0	11	25	25	1	1.0	0.75	31.435.973
Frosted Mini-Wheats	K	100	3	0	3.0	14.0	7	100	25	2	1.0	0.8	58.345.141
